CODE,DECLARANT,YEAR ,QUANTITY_TON,PRODUCTION,QUANTITY_TON,CONSUMPTION_TON,CONSUMPTION_G,CONSUMPTION_AVO,POPULATION,AVO_PP_YEAR
FRA,France,2010,94035.3,1983,9526.4,86491.9,86491900000,480510555.6,64658856,7.43
FRA,France,2011,88261.5,1256,12456.4,77061.1,77061100000,428117222.2,64978721,6.59
FRA,France,2012,94499.6,980,18072.3,77407.3,77407300000,430040555.6,65276983,6.59
FRA,France,2013,100260.4,980,14651.4,86589,86589000000,481050000,65600350,7.33
FRA,France,2014,119722.6,957,18660.2,102019.4,1.02019E+11,566774444.4,65942267,8.60
FRA,France,2015,116397.4,941,19474.5,97863.9,97863900000,543688333.3,66456279,8.18
NLD,The Netherlands,2010,105978.9,0,76030.3,29948.6,29948600000,166381111.1,16574989,10.04
NLD,The Netherlands,2011,104936.3,0,82980.2,21956.1,21956100000,121978333.3,16655799,7.32
NLD,The Netherlands,2012,120322,0,105055.1,15266.9,15266900000,84816111.11,16730348,5.07
NLD,The Netherlands,2013,143604,0,120058.9,23545.1,23545100000,130806111.1,16779575,7.80
NLD,The Netherlands,2014,168760.9,0,142984.4,25776.5,25776500000,143202777.8,16829289,8.51
NLD,The Netherlands,2015,187335.9,0,151604.4,35731.5,35731500000,198508333.3,16900726,11.75
DEU,Germany,2010,27914.5,0,6081,21833.5,21833500000,121297222.2,81802257,1.48
DEU,Germany,2011,29266.2,0,5445.6,23820.6,23820600000,132336666.7,80222065,1.65
DEU,Germany,2012,28998.4,0,4584.6,24413.8,24413800000,135632222.2,80327900,1.69
DEU,Germany,2013,31434,0,5266.1,26167.9,26167900000,145377222.2,80523746,1.81
DEU,Germany,2014,37714,0,5730.6,31983.4,31983400000,177685555.6,80767463,2.20
DEU,Germany,2015,48435,0,10540.8,37894.2,37894200000,210523333.3,81197537,2.59
ITA,Italy,2010,24691.2,0,23868.8,822.4,822400000,4568888.889,59190143,0.08
ITA,Italy,2011,14459.1,0,9981.9,4477.2,4477200000,24873333.33,59364690,0.42
ITA,Italy,2012,5149.1,0,431.9,4717.2,4717200000,26206666.67,59394207,0.44
ITA,Italy,2013,6121.3,0,483.8,5637.5,5637500000,31319444.44,59685227,0.52
ITA,Italy,2014,9109.1,0,724.8,8384.3,8384300000,46579444.44,60782668,0.77
ITA,Italy,2015,10989,0,921.7,10067.3,10067300000,55929444.44,60795612,0.92
GBR,United Kingdom,2010,35240.9,0,1180.1,34060.8,34060800000,189226666.7,62510197,3.03
GBR,United Kingdom,2011,34864.5,0,1451,33413.5,33413500000,185630555.6,63022532,2.95
GBR,United Kingdom,2012,38095.7,0,1830.2,36265.5,36265500000,201475000,63495303,3.17
GBR,United Kingdom,2013,41383.9,0,1909.9,39474,39474000000,219300000,63905297,3.43
GBR,United Kingdom,2014,51552.7,0,935.5,50617.2,50617200000,281206666.7,64351155,4.37
GBR,United Kingdom,2015,73465,0,1688.4,71776.6,71776600000,398758888.9,64875165,6.15
IRL,Ireland,2010,2356.3,0,9.6,2346.7,2346700000,13037222.22,4549428,2.87
IRL,Ireland,2011,1905.4,0,6.2,1899.2,1899200000,10551111.11,4570881,2.31
IRL,Ireland,2012,2049.8,0,60.4,1989.4,1989400000,11052222.22,4589287,2.41
IRL,Ireland,2013,2311.7,0,16.1,2295.6,2295600000,12753333.33,4609779,2.77
IRL,Ireland,2014,2669.2,0,9.2,2660,2660000000,14777777.78,4637852,3.19
IRL,Ireland,2015,4351.3,0,8.4,4342.9,4342900000,24127222.22,4677627,5.16
DNK,Denmark,2010,10521.4,0,442.7,10078.7,10078700000,55992777.78,5534738,10.12
DNK,Denmark,2011,10307.4,0,577.3,9730.1,9730100000,54056111.11,5560628,9.72
DNK,Denmark,2012,11855.7,0,265.1,11590.6,11590600000,64392222.22,5580516,11.54
DNK,Denmark,2013,10105.2,0,346,9759.2,9759200000,54217777.78,5602628,9.68
DNK,Denmark,2014,10978,0,260.6,10717.4,10717400000,59541111.11,5627235,10.58
DNK,Denmark,2015,14190.2,0,363.3,13826.9,13826900000,76816111.11,5659715,13.57
GRC,Greece,2010,721,1431,861.6,1290.4,1290400000,7168888.889,11119289,0.64
GRC,Greece,2011,1030.3,1427,441.6,2015.7,2015700000,11198333.33,11123392,1.01
GRC,Greece,2012,847.8,1478,682.1,1643.7,1643700000,9131666.667,11086406,0.82
GRC,Greece,2013,1165,1415,521.9,2058.1,2058100000,11433888.89,11003615,1.04
GRC,Greece,2014,1405.5,1474,781.2,2098.3,2098300000,11657222.22,10926807,1.07
GRC,Greece,2015,1617.7,4630,892,5355.7,5355700000,29753888.89,10858018,2.74
PRT,Portugal,2010,720.6,15952,91,16581.6,16581600000,92120000,10573479,8.71
PRT,Portugal,2011,498,16602,493.8,16606.2,16606200000,92256666.67,10572721,8.73
PRT,Portugal,2012,658.7,17500,606.8,17551.9,17551900000,97510555.56,10542398,9.25
PRT,Portugal,2013,1126.9,18543,435.6,19234.3,19234300000,106857222.2,10487289,10.19
PRT,Portugal,2014,1131.2,14278,642.9,14766.3,14766300000,82035000,10427301,7.87
PRT,Portugal,2015,1333.9,15786,1737.7,15382.2,15382200000,85456666.67,10374822,8.24
ESP,Spain,2010,32822.6,97378,54421.9,75778.7,75778700000,420992777.8,46486619,9.06
ESP,Spain,2011,29848,83426,70887.8,42386.2,42386200000,235478888.9,46667174,5.05
ESP,Spain,2012,34061.1,76337,65493.9,44904.2,44904200000,249467777.8,46818219,5.33
ESP,Spain,2013,41049.7,69400,66116,44333.7,44333700000,246298333.3,46727890,5.27
ESP,Spain,2014,52746.7,77401,75474.5,54673.2,54673200000,303740000,46512199,6.53
ESP,Spain,2015,60988.9,86636,85737.1,61887.8,61887800000,343821111.1,46449565,7.40
BEL,Belgium,2010,5850.9,0,2608.4,3242.5,3242500000,18013888.89,10839905,1.66
BEL,Belgium,2011,6004.4,0,2057.1,3947.3,3947300000,21929444.44,11000638,1.99
BEL,Belgium,2012,12349.3,0,6439.9,5909.4,5909400000,32830000,11075889,2.96
BEL,Belgium,2013,14370.2,0,8650,5720.2,5720200000,31778888.89,11137974,2.85
BEL,Belgium,2014,17127.2,0,11246.3,5880.9,5880900000,32671666.67,11180840,2.92
BEL,Belgium,2015,20378.4,0,14057.5,6320.9,6320900000,35116111.11,11237274,3.12
LUX,Luxembourg,2010,257.5,0,25.4,232.1,232100000,1289444.444,502066,2.57
LUX,Luxembourg,2011,262.2,0,29.3,232.9,232900000,1293888.889,511840,2.53
LUX,Luxembourg,2012,209.7,0,19.8,189.9,189900000,1055000,524853,2.01
LUX,Luxembourg,2013,237,0,16.3,220.7,220700000,1226111.111,537039,2.28
LUX,Luxembourg,2014,366.7,0,22.3,344.4,344400000,1913333.333,549680,3.48
LUX,Luxembourg,2015,358.6,0,17.3,341.3,341300000,1896111.111,562958,3.37
SWE,Sweden,2010,14183,0,785,13398,13398000000,74433333.33,9340682,7.97
SWE,Sweden,2011,16563.3,0,216.3,16347,16347000000,90816666.67,9415570,9.65
SWE,Sweden,2012,18795.9,0,15.1,18780.8,18780800000,104337777.8,9482855,11.00
SWE,Sweden,2013,19655.6,0,41.3,19614.3,19614300000,108968333.3,9555893,11.40
SWE,Sweden,2014,19370.9,0,31.6,19339.3,19339300000,107440555.6,9644864,11.14
SWE,Sweden,2015,17878.5,0,79.7,17798.8,17798800000,98882222.22,9747355,10.14
FIN,Finland,2010,1479.2,0,0.1,1479.1,1479100000,8217222.222,5351427,1.54
FIN,Finland,2011,2073.2,0,0.1,2073.1,2073100000,11517222.22,5375276,2.14
FIN,Finland,2012,2215.6,0,0,2215.6,2215600000,12308888.89,5401267,2.28
FIN,Finland,2013,4435.1,0,2.5,4432.6,4432600000,24625555.56,5426674,4.54
FIN,Finland,2014,6243.3,0,14.3,6229,6229000000,34605555.56,5451270,6.35
FIN,Finland,2015,7491.8,0,49.7,7442.1,7442100000,41345000,5471753,7.56
AUT,Austria,2010,3062.2,0,370.1,2692.1,2692100000,14956111.11,8351643,1.79
AUT,Austria,2011,2995.1,0,332.3,2662.8,2662800000,14793333.33,8375164,1.77
AUT,Austria,2012,2761.5,0,592.2,2169.3,2169300000,12051666.67,8408121,1.43
